cbsa,CBSATitle,year,prescription_rate,employment_to_population,african_amer_percent,native_amer_percent,asian_percent,other_percent,hispanic_percent,female_percent,high_school_percent,opioid_age,northeast,midwest,south,west,treat,post
10220,"Ada, OK",2012,139.1,45.43858,2.509274,7.7848434,.38950714,17.509274,4.1441441,51.18177,.45667621,24.226286,0,0,1,0,1,1
10220,"Ada, OK",2013,129.8,44.026108,2.5134649,7.0783606,.88974547,17.742105,4.3140779,51.174885,.45660833,24.419157,0,0,1,0,1,1
10220,"Ada, OK",2014,118.3,44.431385,2.3393974,7.4168935,.55448472,18.063,4.4332376,51.24231,.46529987,24.495024,0,0,1,0,1,1
10300,"Adrian, MI",2006,66.90000000000001,45.525093,1.9662871,.53732586,.75816548,4.756453,7.331439,50.519146,.50594568,26.590242,0,1,0,0,0,0
10300,"Adrian, MI",2007,66.90000000000001,44.905682,1.8492543,.5433172,.68951893,4.6784549,7.3090978,50.494915,.5037154,26.00316,0,1,0,0,0,0
10300,"Adrian, MI",2008,76.3,43.30492,2.2065585,.48639193,.63665932,4.6790504,7.4095674,50.136925,.49251196,26.288887,0,1,0,0,0,0
10300,"Adrian, MI",2009,75.40000000000001,40.738079,2.3026445,.52495527,.57764959,4.6152315,7.545238,49.942337,.49006277,25.060648,0,1,0,0,0,0
10300,"Adrian, MI",2010,77.8,43.231327,2.2479811,.56950647,.51889044,4.3338614,7.5136142,49.867432,.48590621,24.722134,0,1,0,0,0,1
10300,"Adrian, MI",2011,77.3,43.640095,2.3723414,.73434383,.50091672,3.7378404,7.5969024,49.717983,.48805842,23.771502,0,1,0,0,0,1
10300,"Adrian, MI",2012,86.90000000000001,44.177185,2.3106198,.63227415,.39668158,3.9426525,7.6386371,49.439209,.46982855,23.365953,0,1,0,0,0,1
10300,"Adrian, MI",2013,90.90000000000001,44.596966,2.5440726,.62896252,.29734606,3.9723418,7.63625,49.350376,.46679974,23.302858,0,1,0,0,0,1
10300,"Adrian, MI",2014,97.59999999999999,45.585377,2.4320703,.46848083,.29418582,4.2888665,7.641778,49.338585,.47032717,23.393816,0,1,0,0,0,1
10420,"Akron, OH",2006,83.84355618258255,52.164429,11.703273,.14842959,1.5758365,1.481944,.96547616,51.610672,.46008423,26.7542,0,1,0,0,1,0
10420,"Akron, OH",2007,83.79718348703412,52.788853,11.694472,.14983396,1.7019143,1.7304074,1.1357274,51.585758,.45967522,26.488894,0,1,0,0,1,0
10420,"Akron, OH",2008,97.51595506896059,52.604984,11.704237,.17084672,1.7209046,1.8698132,1.1566786,51.569344,.45084414,26.125744,0,1,0,0,1,0
10420,"Akron, OH",2009,101.106976787169,49.18586,11.777947,.14808637,1.7643048,1.8419856,1.218781,51.634766,.4470847,25.574722,0,1,0,0,1,0
10420,"Akron, OH",2010,104.6626392008318,47.429127,11.774521,.16443607,1.8985679,2.2575672,1.3736739,51.571739,.44428918,25.189579,0,1,0,0,1,1
10420,"Akron, OH",2011,94.89901877133106,47.219196,11.920388,.1737027,2.0106106,2.5070457,1.560732,51.534153,.43743724,24.381985,0,1,0,0,1,1
10420,"Akron, OH",2012,83.15006743967105,47.534424,11.759645,.15895154,2.0087297,2.8893151,1.6128536,51.562477,.43519527,24.183105,0,1,0,0,1,1
10420,"Akron, OH",2013,78.88470128094529,47.082458,11.819859,.18181856,2.1934719,2.9127727,1.7076823,51.571827,.43288445,23.924812,0,1,0,0,1,1
10420,"Akron, OH",2014,75.98385987958713,48.063511,11.898467,.18460231,2.2176199,2.8256826,1.7040322,51.509571,.43052289,24.081451,0,1,0,0,1,1
10460,"Alamogordo, NM",2006,62.2,39.506554,4.8171744,5.2083397,1.6860474,13.799167,34.004139,50.226753,.44983971,26.662037,0,0,0,1,0,0
10460,"Alamogordo, NM",2007,62.2,39.517128,4.6150675,5.5710573,1.4633141,16.938295,33.886105,49.839874,.46341768,26.409412,0,0,0,1,0,0
10460,"Alamogordo, NM",2008,70.7,39.220703,4.5714102,5.5635309,1.496156,12.511565,34.429134,49.948959,.45041159,26.133282,0,0,0,1,0,0
10460,"Alamogordo, NM",2009,72.8,38.422993,4.6050029,5.7380805,1.8600168,8.9745407,35.028999,49.760582,.43842727,25.771582,0,0,0,1,0,0
10460,"Alamogordo, NM",2010,83.90000000000001,35.82872,4.3236055,6.3287506,1.5346435,11.823356,34.720886,49.560593,.45533258,25.277401,0,0,0,1,0,1
10460,"Alamogordo, NM",2011,82.2,34.957802,4.1375766,7.2575116,1.725159,8.0148983,34.757198,49.968834,.45395863,24.191185,0,0,0,1,0,1
10460,"Alamogordo, NM",2012,70.8,35.466663,4.1787891,7.1800447,1.4210026,11.044927,34.940128,48.975594,.45826504,24.475546,0,0,0,1,0,1
10460,"Alamogordo, NM",2013,64.5,35.871254,3.6922562,6.8455191,1.3535736,12.946497,35.20966,48.883949,.47259638,24.301897,0,0,0,1,0,1
10460,"Alamogordo, NM",2014,62.4,35.733627,3.9715662,7.2659178,1.2718796,10.356952,35.511734,48.880226,.45574442,24.27425,0,0,0,1,0,1
10500,"Albany, GA",2006,94.63833985762646,45.274418,44.923676,.30626395,.93316829,1.9023514,1.9023514,49.249451,.48553312,23.890486,0,0,1,0,0,0
10500,"Albany, GA",2007,94.49757293692691,45.643932,52.450901,.3139976,.91997188,1.8234469,,52.696968,.51368612,25.725737,0,0,1,0,0,0
10500,"Albany, GA",2008,100.8354291659442,45.31147,63.512878,.34037471,.96561694,1.6034268,,52.422802,.51263428,25.421804,0,0,1,0,0,0
10500,"Albany, GA",2009,102.3981775673698,43.677856,53.705566,.19960518,1.1653277,1.8044879,,52.551506,.5188579,25.421753,0,0,1,0,0,0
10500,"Albany, GA",2010,105.4280845956729,39.858974,49.177284,.18326305,.93141496,2.0380254,2.1202359,50.888954,.50344259,24.566216,0,0,1,0,0,1
10500,"Albany, GA",2011,101.8866039017762,39.694687,51.705341,.077352487,.92772561,2.287745,,52.594574,.52399963,25.130896,0,0,1,0,0,1
10500,"Albany, GA",2012,107.6964728269341,39.863506,56.49873,.13389368,1.0110136,2.0613105,,52.380489,.51283038,25.359509,0,0,1,0,0,1
10500,"Albany, GA",2013,109.2890834299488,39.681591,56.2775,.083920091,1.0410613,2.3951283,,52.436424,.51146799,25.646824,0,0,1,0,0,1
10500,"Albany, GA",2014,105.2979032438516,39.357639,52.646019,.12296086,.97191364,2.1540842,2.3397195,52.412075,.51110572,25.263786,0,0,1,0,0,1
10540,"Albany-Lebanon, OR",2006,105,44.418556,.38363919,1.544111,.80676711,5.5772619,5.3564215,50.600815,.49159625,26.422062,0,0,0,1,0,0
10540,"Albany-Lebanon, OR",2007,105,44.255428,.43826029,1.4256986,.9477604,5.4755487,5.6820536,50.703831,.47885859,26.196423,0,0,0,1,0,0
10540,"Albany-Lebanon, OR",2008,114.9,44.254238,.31658444,1.6200634,.9479847,4.7806015,6.0610881,50.572151,.47841352,26.377319,0,0,0,1,0,0
10540,"Albany-Lebanon, OR",2009,118.8,41.716618,.46341377,1.8171384,.83292758,4.9332271,6.3243375,50.313004,.46745351,25.180843,0,0,0,1,0,0
10540,"Albany-Lebanon, OR",2010,126.8,42.680592,.43351582,1.8277417,.95831954,4.7344356,6.9292316,50.521355,.45073229,25.319353,0,0,0,1,0,1
10540,"Albany-Lebanon, OR",2011,130.5,42.479424,.45814705,2.3454394,.7102989,5.1584282,7.8286738,50.489349,.42534852,24.663868,0,0,0,1,0,1
10540,"Albany-Lebanon, OR",2012,134.4,41.968288,.46181536,2.1274068,1.0526673,4.4398794,7.9705596,50.632446,.42244339,24.681654,0,0,0,1,0,1
10540,"Albany-Lebanon, OR",2013,126.8,41.183228,.47277334,1.8032925,1.2157029,3.4926128,8.1021528,50.411148,.42293167,24.485437,0,0,0,1,0,1
10540,"Albany-Lebanon, OR",2014,127,42.061882,.47349286,1.9387841,1.1524478,4.0179253,8.1085653,50.448124,.41881287,24.547222,0,0,0,1,0,1
10580,"Albany-Schenectady-Troy, NY",2006,55.66983501188449,50.924828,6.5599451,.26859561,2.6833591,3.1243114,2.8884578,51.223679,.41672358,26.916245,1,0,0,0,1,0
10580,"Albany-Schenectady-Troy, NY",2007,55.66448518540833,50.278194,6.8594403,.22899625,2.8394418,3.1724837,3.1661575,51.259529,.41286546,26.935621,1,0,0,0,1,0
10580,"Albany-Schenectady-Troy, NY",2008,59.29308620056748,50.090343,6.7309289,.23431376,2.9593787,3.4451485,3.2980833,51.222492,.4011687,26.829662,1,0,0,0,1,0
10580,"Albany-Schenectady-Troy, NY",2009,60.19566451681177,48.901413,6.7850151,.30012625,2.8915057,3.4934244,3.442512,51.099594,.39412627,25.01322,1,0,0,0,1,0
10580,"Albany-Schenectady-Troy, NY",2010,62.76048569480255,48.828785,7.2234721,.23198244,3.1072156,3.6050749,3.7842739,51.183468,.38600135,25.624443,1,0,0,0,1,1
10580,"Albany-Schenectady-Troy, NY",2011,52.50006129852036,47.842529,7.7339201,.23652753,3.1709895,3.6326401,4.1920447,51.1642,.37240243,25.015568,1,0,0,0,1,1
10580,"Albany-Schenectady-Troy, NY",2012,57.25384612746342,48.114128,7.7120819,.20340528,3.2642074,3.9604902,4.3221226,51.199596,.36609149,24.864464,1,0,0,0,1,1
10580,"Albany-Schenectady-Troy, NY",2013,47.38208753057071,48.545502,7.7916136,.19889598,3.4855976,3.9834018,4.5695457,51.145565,.36210343,24.657349,1,0,0,0,1,1
10580,"Albany-Schenectady-Troy, NY",2014,44.11097614999436,48.016243,7.666976,.18523322,3.5776236,4.0238647,4.513576,51.165764,.36143044,24.751999,1,0,0,0,1,1
10620,"Albemarle, NC",2006,107.3,48.162281,12.599971,.23439378,1.0075153,3.096143,3.096143,50.419754,.60826808,26.751116,0,0,1,0,0,0
10620,"Albemarle, NC",2007,107.3,48.744598,12.623425,.23833844,.92271024,3.3282261,,50.560093,.6087569,26.56963,0,0,1,0,0,0
10620,"Albemarle, NC",2008,107.2,46.734035,12.282186,.40602264,.91524273,2.6645238,,50.138725,.57350653,26.073423,0,0,1,0,0,0
10620,"Albemarle, NC",2009,116.2,44.188301,11.126037,.12593612,2.1190853,2.5623803,,49.988247,.56708503,25.25943,0,0,1,0,0,0
10620,"Albemarle, NC",2010,128.7,41.856213,11.650399,.27465856,1.5928581,2.4856958,3.4298942,50.136894,.55557275,25.149849,0,0,1,0,0,1
10620,"Albemarle, NC",2011,126.1,42.256477,11.761987,.25095761,1.8854842,1.8260468,,50.246006,.53652918,24.53771,0,0,1,0,0,1
10620,"Albemarle, NC",2012,140.3,43.085167,11.612764,.25615177,1.9913735,1.8938706,,50.038837,.52198029,24.4501,0,0,1,0,0,1
10620,"Albemarle, NC",2013,142.6,43.887119,10.057822,.31058979,1.9461423,2.567322,,49.755493,.51130265,23.566826,0,0,1,0,0,1
10620,"Albemarle, NC",2014,139.1,44.301769,11.139003,.3748782,1.9553119,1.9470546,3.7636452,49.947979,.51715332,23.990553,0,0,1,0,0,1
10660,"Albert Lea, MN",2006,48.9,49.303795,.68873018,.19983049,.72474855,1.3607576,6.6230245,50.231014,.54272544,24.015526,0,1,0,0,1,0
10660,"Albert Lea, MN",2007,48.9,49.141571,.70386648,.17517039,.78030449,1.7134849,6.9367476,50.410854,.5305022,23.577934,0,1,0,0,1,0
10660,"Albert Lea, MN",2008,48.9,49.127449,.84789312,.32117164,.73227131,1.506295,7.2809606,50.375771,.53036237,23.89517,0,1,0,0,1,0
10660,"Albert Lea, MN",2009,47.8,48.098724,.85288531,.25103796,.89150655,1.5641594,7.502172,50.249428,.52038282,22.21364,0,1,0,0,1,0
10660,"Albert Lea, MN",2010,40.1,50.555645,.80603808,.29483798,.87897265,2.0927217,8.0229454,50.313705,.51005477,22.332024,0,1,0,0,1,1
10660,"Albert Lea, MN",2011,30.6,51.333385,.50574565,.29448479,.89305723,2.8872316,8.7001057,49.838352,.50601977,21.66704,0,1,0,0,1,1
10660,"Albert Lea, MN",2012,30.1,50.66272,.83550245,.37918958,.98332214,2.5290017,8.8981009,50.204056,.49300891,21.295671,0,1,0,0,1,1
10660,"Albert Lea, MN",2013,31.3,50.587933,1.056667,.36081311,1.056667,2.5289133,9.1008663,50.649143,.46832776,20.67588,0,1,0,0,1,1
10660,"Albert Lea, MN",2014,35.5,50.617798,.95701486,.37700588,.96990401,2.6519303,9.1415863,50.55101,.48910865,21.315332,0,1,0,0,1,1
10700,"Albertville, AL",2006,182.3,46.008125,1.93782,.4977065,.51086575,2.171844,9.2153244,51.151222,.59132934,28.242743,0,0,1,0,1,0
10700,"Albertville, AL",2007,182.3,44.579758,1.9392859,.44227293,.49553093,2.6246932,9.2414207,51.287453,.57422733,28.319363,0,0,1,0,1,0
10700,"Albertville, AL",2008,202,43.531574,2.074703,.53326619,.54470968,2.4580595,9.8745794,51.132904,.58507222,27.943834,0,0,1,0,1,0
10700,"Albertville, AL",2009,209.4,39.984184,1.7131965,.71532685,.50229847,3.1853347,11.374594,50.774754,.59192127,25.659826,0,0,1,0,1,0
10700,"Albertville, AL",2010,217.8,40.50716,1.8460866,.60213625,.52885473,3.4953513,11.187099,50.920589,.57301313,26.31641,0,0,1,0,1,1
10700,"Albertville, AL",2011,214.7,39.655506,1.5644783,.66527885,.54080731,4.0614204,12.090907,50.533295,.57015467,25.135738,0,0,1,0,1,1
10700,"Albertville, AL",2012,230.4,39.759502,1.9357377,.56795824,.60305673,4.3766818,12.473809,50.748234,.56302834,25.198627,0,0,1,0,1,1
10700,"Albertville, AL",2013,219.8,40.021099,1.7940974,.7163673,.48958832,4.6383724,12.657235,50.928844,.55437714,25.076035,0,0,1,0,1,1
10700,"Albertville, AL",2014,211.2,39.594856,1.8093731,.6789133,.5439806,4.446404,12.568927,50.807999,.55399483,24.955111,0,0,1,0,1,1
10740,"Albuquerque, NM",2006,64.85668930721368,45.791149,2.8863983,6.0906825,1.9562826,21.618114,42.574837,49.782433,.40268862,27.902704,0,0,0,1,1,0
10740,"Albuquerque, NM",2007,64.8217257641757,45.230145,2.8663657,6.0373569,1.9620441,21.487007,43.909351,50.821186,.40831792,28.100809,0,0,0,1,1,0
10740,"Albuquerque, NM",2008,75.86893545506456,44.589363,2.8890271,6.1368451,1.9776967,21.168991,44.287773,50.80751,.39889625,27.868429,0,0,0,1,1,0
10740,"Albuquerque, NM",2009,80.62376809576837,42.19981,2.9128885,6.1683125,2.034517,20.122351,45.034325,50.740231,.39499187,28.385056,0,0,0,1,1,0
10740,"Albuquerque, NM",2010,85.74620564370171,43.735931,2.796304,5.8834982,1.9400411,19.88681,45.230267,50.342815,.38631004,27.148087,0,0,0,1,1,1
10740,"Albuquerque, NM",2011,73.27848212058583,43.258488,2.7410924,5.9181132,1.9558197,20.127888,46.844734,50.914211,.37905064,26.659277,0,0,0,1,1,1
10740,"Albuquerque, NM",2012,66.67725522457727,43.108047,2.7762616,5.744113,1.8627074,20.335787,47.214909,50.846226,.37367249,26.602591,0,0,0,1,1,1
10740,"Albuquerque, NM",2013,61.7457399445054,43.0825,2.8514903,5.6580482,1.954818,18.044703,47.524284,50.807865,.37312412,26.742533,0,0,0,1,1,1
10740,"Albuquerque, NM",2014,62.56752209415194,43.34473,2.6732643,5.6302285,2.0162535,17.92872,47.365238,50.840218,.37261632,26.662931,0,0,0,1,1,1
10780,"Alexandria, LA",2006,128.8772518558706,43.800632,28.305679,.66388559,.67776895,2.0440946,1.9450445,51.78907,.5493173,26.854246,0,0,1,0,0,0
10780,"Alexandria, LA",2007,128.7282365054849,43.303795,31.362709,.75185639,.98105258,1.6322486,1.9644281,51.924549,.55033606,26.425701,0,0,1,0,0,0
10780,"Alexandria, LA",2008,134.2783150312906,44.191639,31.229908,.66408163,.86661893,2.0765727,2.0795844,51.948196,.54514021,26.244024,0,0,1,0,0,0
10780,"Alexandria, LA",2009,138.2684090256196,42.510189,28.22555,.63613665,.8472386,2.1615903,2.3184366,51.375664,.53798133,26.012787,0,0,1,0,0,0
10780,"Alexandria, LA",2010,141.0664936143702,40.538116,29.068174,.69596511,.98611498,1.9934429,2.503443,51.1208,.54665011,26.263506,0,0,1,0,0,1
10780,"Alexandria, LA",2011,142.3050465667543,40.083527,29.660685,.58616436,1.0481886,2.2918434,,50.828194,.54520226,25.939041,0,0,1,0,0,1
10780,"Alexandria, LA",2012,169.5,39.681797,30.005625,.74499887,1.1066036,1.7924765,2.6617322,50.65102,.5510543,26.063364,0,0,1,0,0,1
10780,"Alexandria, LA",2013,174.7,39.469696,29.503527,.79765999,1.3203646,1.7998807,2.7244172,50.657993,.54336852,25.668135,0,0,1,0,0,1
10780,"Alexandria, LA",2014,145.5430789735892,39.975933,29.757023,.72072732,1.2752726,1.9557761,2.9786654,50.579399,.54366517,25.878689,0,0,1,0,0,1
10820,"Alexandria, MN",2006,78.59999999999999,54.233456,.1988699,.52040243,.54322308,.71330202,.71330202,50.305271,.43236935,26.041464,0,1,0,0,1,0
10820,"Alexandria, MN",2007,78.59999999999999,53.19397,.53651685,.45505619,.36235955,.84831464,,50.359554,.42518657,25.50281,0,1,0,0,1,0
10820,"Alexandria, MN",2008,84.09999999999999,53.406662,.15589333,.42592281,.44262567,.87133235,,50.278385,.40701783,26.109346,0,1,0,0,1,0
10820,"Alexandria, MN",2009,89.09999999999999,53.47472,.0082884375,.50283188,.73214531,.72938251,,50.045586,.41336346,23.351292,0,1,0,0,1,0
10820,"Alexandria, MN",2010,95.09999999999999,51.352226,.35801372,.38662288,.37542579,1.008177,.97318906,50.151489,.39818367,23.62278,0,1,0,0,1,1
10820,"Alexandria, MN",2011,92.40000000000001,51.459007,.35198581,.3242704,.21895179,1.3109392,,49.909927,.39962077,21.94784,0,1,0,0,1,1
10820,"Alexandria, MN",2012,99.3,51.871574,.60192728,.40312558,.19604054,1.0243808,,50.274734,.37398246,22.100119,0,1,0,0,1,1
10820,"Alexandria, MN",2013,97.59999999999999,52.25919,.48609012,.18125395,.28286603,1.3374344,,50.017853,.36365047,21.901518,0,1,0,0,1,1
10820,"Alexandria, MN",2014,99.09999999999999,52.375877,.52453792,.28011975,.22519429,1.2303299,1.2330761,50.020599,.37027845,22.027847,0,1,0,0,1,1
10860,"Alice, TX",2006,65.72226186635289,46.374584,.58111894,.13535261,.46252683,8.4877396,58.332771,39.315117,.49926394,18.77796,0,0,1,0,1,0
10860,"Alice, TX",2007,65.99778771966407,47.709923,.90345955,.2987048,.4994736,10.878241,76.632469,51.372326,.64746404,24.635801,0,0,1,0,1,0
10860,"Alice, TX",2008,71.199714280272,48.533527,.5077877,.25877643,.78121185,9.2280645,76.700356,51.057076,.64769232,24.259069,0,0,1,0,1,0
10860,"Alice, TX",2009,74.23345765937202,46.533264,.7511096,.14875872,.47554016,8.1841688,77.227722,50.646244,.61986428,24.223284,0,0,1,0,1,0
10860,"Alice, TX",2010,77.83910448895816,39.738083,.67275095,.29264113,.40049124,7.9982424,70.368996,44.698273,.56498307,21.396109,0,0,1,0,1,1
10860,"Alice, TX",2011,64.55810637495286,43.096943,.92027533,.24166381,.082995653,9.7934875,78.721382,50.273396,.63609195,23.778255,0,0,1,0,1,1
10860,"Alice, TX",2012,65.32396821520486,45.797359,.72407615,.34629729,.38262218,7.6476002,79.127716,50.135612,.6225251,23.872719,0,0,1,0,1,1
